finding_id,finding,audited_evidence,child,regression_file,acceptance_gate,status_at_freeze
K1,singular PSD kernel null directions jittered into the fitter,results.txt PSD kernel counterexample,bd-01M0GADX21WQ7XW75REPKR1B8C,tests/testthat/test-beta-kernel-rank.R,range-space roots and K-orthonormal basis,reproduced
K2,effective rank changes under scalar rescaling,results.txt effective-rank scale metamorphism,bd-01M0GADX21WQ7XW75REPKR1B8C,tests/testthat/test-beta-kernel-rank.R,scale-invariant rank and whitened subspace,reproduced
K3,fold basis inherits unattainable full-data rank,results.txt fold-specific rank,bd-01M0GADX21WQ7XW75REPKR1B8C,tests/testthat/test-beta-kernel-rank.R,fold-training rank cap and Gram postcondition,reproduced
I1,parametric maxT returns an empty adjusted vector,results.txt parametric default maxT,bd-01M0GADX6CEFXN066EJ3CV9SKC,tests/testthat/test-beta-inference-compat.R,unsupported correction rejected before computation,reproduced
I2,parametric inference ignores transported representation,results.txt parametric transport,bd-01M0GADX6CEFXN066EJ3CV9SKC,tests/testthat/test-beta-inference-compat.R,parametric plus transport rejected,reproduced
I3,freedman-lane is advertised but is only a stopping scaffold,results.txt freedman-lane helper,bd-01M0GADX6CEFXN066EJ3CV9SKC,tests/testthat/test-beta-inference-compat.R,removed from supported dkge_infer choices,reproduced
I4,sign-flip median center is ignored,results.txt sign-flip center,bd-01M0GADX6CEFXN066EJ3CV9SKC,tests/testthat/test-beta-inference-compat.R,unsupported center rejected and mean semantics explicit,reproduced
I5,one-target non-maxT inference drops a dimension,results.txt one-column sign flip,bd-01M0GADX6CEFXN066EJ3CV9SKC,tests/testthat/test-beta-inference-compat.R,stable named one-target schema,reproduced
T1,loading-derived transport changes under sign flip,results.txt loading transport,bd-01M0GADXACGVAS314W6P7C7HDY,tests/testthat/test-beta-transport-classification.R,sign-sensitive provenance fails closed for inference,reproduced
C1,classification holds selected lambda fixed under permutation,results.txt lambda fit sequence,bd-01M0GADXACGVAS314W6P7C7HDY,tests/testthat/test-beta-transport-classification.R,preselected scalar beta contract or reselection within permutations,reproduced
E1,fold voxel weights recycle across different parcel counts,results.txt fold spatial-weight recycling,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,strict subject-specific weight resolver,reproduced
E2,custom folds overlap and omit subjects by default,results.txt custom folds,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,exact nonoverlapping partition,reproduced
E3,fold construction mutates caller RNG state,results.txt fold RNG,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,RNG state preservation,reproduced
E4,noninteger resampling count is truncated,results.txt numerical scalar coercion,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,validate integer before coercion,reproduced
E5,zero mass accepted by one Sinkhorn boundary and rejected by another,results.txt Sinkhorn zero-mass contract,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,positive-support solve and zero re-expansion,reproduced
E6,native Sinkhorn warm-start length is unchecked,native-warm-start.txt,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,native validation before Armadillo views,reproduced
E7,zero-signal aggregate returns an arbitrary rank-one component,results.txt aggregate zero-signal fit,bd-01M0GADXFVGBZ9EGNR42YKR2Y7,tests/testthat/test-beta-edge-contracts.R,typed rank-zero aggregate,reproduced
R1,core release graph has mutable or inaccessible dependencies,rcmdcheck.txt and hosted workflow,bd-01M0GADXMQ2XWF4NB30DYQDDVJ,.github/workflows/R-CMD-check.yaml,candidate resolves and reaches tests on required lanes,reproduced
R2,check findings include codoc S3 visible binding and undeclared test dependencies,rcmdcheck-nosuggest.txt,bd-01M0GADXMQ2XWF4NB30DYQDDVJ,tests/testthat/test-release-contracts.R,clean package metadata and check surfaces,reproduced
